issue,issue_title,start_date,end_date,rank,track_id,song_name,artist_name,qq_track_mid,new_flag,last_week_rank,on_chart_weeks,history_highest_rank,uni_index,play_heat,spread,preference,sales,recommendation,cover_url
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,99,532547067,如果你也刚好抬头看树,孙天宇,0005HuT83Cze8P,True,0,1,99,85.33858,70.64,0.0,0.0,15.39,51.72,https://y.gtimg.cn/music/photo_new/T002R500x500M000002w4MPC0gdACF_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,100,522436398,斗战胜佛,张艺兴,0031lecC265Cw1,False,31,4,13,85.3065,61.96,0.0,0.0,55.65,41.48,https://y.gtimg.cn/music/photo_new/T002R500x500M000001w138z3PZEcz_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,101,530494384,青玉恋,刘宇,001Mlxo70U5jA2,False,65,0,0,85.28273,63.23,0.0,0.0,25.93,56.22,https://y.gtimg.cn/music/photo_new/T002R500x500M000003zREKb4gJGUF_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,102,533494826,山风山风等等我,万海东,0012TY2n0qQurs,False,0,0,0,85.27865,72.07,0.0,0.0,30.3,44.81,https://y.gtimg.cn/music/photo_new/T002R500x500M000002O92eu0Jubpi_3.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,103,521720355,幻梦,王俊凯,000bbwzf2E0nwB,False,81,0,0,85.22224,70.53,0.0,0.0,32.22,49.5,https://y.qq.com/music/photo_new/T062R500x500M000003tjnfQ2DkfyZ.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,104,530838888,窝囊废,"刘凤瑶,曾一鸣,张玮,李琦,派克特",002oy5sA18Y1vl,False,63,0,0,85.17514,73.58,0.0,0.0,15.29,40.94,https://y.gtimg.cn/music/photo_new/T002R500x500M000000i2YjH2563cV_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,105,513296573,街角的晚风1997,曾舜晞,004Ge20S1FuiOF,False,91,0,0,85.16236,74.77,0.0,0.0,3.71,19.82,https://y.gtimg.cn/music/photo_new/T002R500x500M000002eea6O0cudxW_2.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,106,515780154,从前,王俊凯,000Ji0xi2WKRll,False,94,0,0,85.12422,70.45,0.0,0.0,32.58,48.93,https://y.qq.com/music/photo_new/T062R500x500M000001q4lBQ4YRSPD.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,107,532410192,也许有你,罗云熙,0018E0jN2IO9Az,False,0,0,0,85.11506,46.72,0.0,0.0,60.73,9.77,https://y.gtimg.cn/music/photo_new/T002R500x500M000002D9AST0qddiF_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,108,521720357,Stay,王俊凯,002TplNQ18uPB9,False,83,0,0,85.10589,70.62,0.0,0.0,31.08,48.78,https://y.qq.com/music/photo_new/T062R500x500M000000yKB6w1WY6fo.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,109,515779634,I Love This Life,王俊凯,002snOiL3DNzr2,False,90,0,0,85.00993,70.27,0.0,0.0,32.51,48.78,https://y.qq.com/music/photo_new/T062R500x500M0000033JXxr402Nw0.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,110,516975210,千香,周深,004Uik3G0sMdUW,False,100,0,0,85.00429,70.9,0.0,0.0,15.43,49.93,https://y.qq.com/music/photo_new/T062R500x500M000001xCpOz3ARHzs.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,111,515780030,真相,王俊凯,004WWjMC2Dt1ip,False,89,0,0,84.93543,70.16,0.0,0.0,31.65,49.24,https://y.qq.com/music/photo_new/T062R500x500M000004YwMvf2ekLnQ.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,112,524048324,香烟与吻痕 (我在月光下许过情真),黄龄,002L0ilt0Sk1xo,False,70,0,0,84.61642,74.02,0.0,0.0,4.64,20.41,https://y.gtimg.cn/music/photo_new/T002R500x500M000001k5VY01qCYXb_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,113,532410194,新一天,罗云熙,0019tLwx49ugnd,False,0,0,0,84.5366,46.3,0.0,0.0,60.16,11.08,https://y.gtimg.cn/music/photo_new/T002R500x500M000002D9AST0qddiF_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,114,532410187,在蓉城,罗云熙,002AJLAm46YuAb,False,0,0,0,84.44459,46.4,0.0,0.0,60.09,9.64,https://y.gtimg.cn/music/photo_new/T002R500x500M000002D9AST0qddiF_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,115,493990931,Alive,"王嘉尔,五月天 阿信",0013X2Uy17E28w,False,157,0,0,84.39493,73.87,0.0,0.0,3.24,17.24,https://y.gtimg.cn/music/photo_new/T002R500x500M000001PC3JU3e688L_2.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,116,524521641,漫游,黄子弘凡,0009xPxG0R6G9c,False,104,0,0,83.86388,66.62,0.0,0.0,9.18,51.94,https://y.qq.com/music/photo_new/T062R500x500M0000011NdbQ2F154j.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,117,530342519,归途恰恰,黄泥,0007hEyW2MvXPs,False,0,0,0,83.80609,73.42,0.0,0.0,1.27,8.44,https://y.gtimg.cn/music/photo_new/T002R500x500M000003B32uN4Glf7f_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,118,517484236,光,陈楚生,004JAWWq0NadAX,False,108,0,0,83.69691,53.55,0.0,0.0,7.89,57.46,https://y.gtimg.cn/music/photo_new/T002R500x500M000002ld9Tt17lb4O_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,119,531999871,心跳赫兹 (Love Got Me Ooh),A2O MAY,001xOKCT3wNoKB,False,114,0,0,83.63259,71.33,0.0,0.0,15.75,42.86,https://y.gtimg.cn/music/photo_new/T002R500x500M000002qB0Ds2U9Vvy_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,120,512187104,你本就是光,刘亦辰,000ayLmZ0gCLWV,False,51,0,0,83.34405,72.92,0.0,0.0,3.55,5.44,https://y.gtimg.cn/music/photo_new/T002R500x500M0000002Qetd2gtePo_2.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,121,530772974,Metal Flower,R.E.D,0043j4Cx4XEcBt,False,96,0,0,83.33723,66.27,0.0,0.0,6.9,51.25,https://y.gtimg.cn/music/photo_new/T002R500x500M000000u1Owg2RJzL5_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,122,529851668,全世界陪我出发,"TF家族,TF家族-官俊臣,TF家族-张桂源,TF家族-张函瑞,TF家族-王橹杰,TF家族-王烁然,TF家族-左奇函,TF家族-陈奕恒,TF家族-杨博文,TF家族-杨涵博,TF家族-张奕然,TF家族-聂玮辰,TF家族-陈思罕,TF家族-魏子宸,TF家族-李煜东,TF家族-陈浚铭",003RIqye0gr9MB,False,111,0,0,83.31933,71.56,0.0,0.0,9.12,41.43,https://y.gtimg.cn/music/photo_new/T002R500x500M000000dn6vm1EN6ax_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,123,485150107,My Fondest,郝熠然,004Q9M7v4WduyW,False,75,0,0,83.05159,60.9,0.0,0.0,16.88,53.61,https://y.gtimg.cn/music/photo_new/T002R500x500M000002DNaAy3DLTff_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,124,531085098,沪上龙王,郭有才,0049xZge3U5SLp,False,0,0,0,83.03077,72.34,0.0,0.0,11.47,9.52,https://y.gtimg.cn/music/photo_new/T002R500x500M000000xjTTE3rd5Df_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,125,518768695,你从春天走来,刘若英,002QwHdc11MAzQ,False,139,0,0,83.02743,72.6,0.0,0.0,3.12,6.14,https://y.gtimg.cn/music/photo_new/T002R500x500M000003PHxFb4EbMCi_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,126,533897375,贴心,梁咏琪,0042LLtJ3DmpFZ,False,0,0,0,82.94761,72.37,0.0,0.0,2.92,20.11,https://y.gtimg.cn/music/photo_new/T002R500x500M000003mTx4M2vjsxl_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,127,513183075,一见如故,许嵩,002ioSAK2ftAqy,False,118,0,0,82.83227,70.82,0.0,0.0,5.59,42.73,https://y.gtimg.cn/music/photo_new/T002R500x500M000001Oqn952HAPRk_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,128,514417457,略略略略略,TOP登陆少年组合,000QuvKj4aCfBU,False,140,0,0,82.82101,68.19,0.0,0.0,31.2,44.06,https://y.gtimg.cn/music/photo_new/T002R500x500M000002rYBVh2iOMHZ_2.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,129,517395426,问爱,Yamy郭颖,002oGI0x1Go47u,False,0,0,0,82.80459,70.51,0.0,0.0,10.82,43.28,https://y.gtimg.cn/music/photo_new/T002R500x500M000000nsQXX2AYOBd_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,130,513183119,心安之地,许嵩,000h1psW2HN90S,False,134,0,0,82.78411,70.73,0.0,0.0,8.8,42.53,https://y.gtimg.cn/music/photo_new/T002R500x500M000001Oqn952HAPRk_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,131,507703039,也许在下雨天 (眼泪才不被看见),"何遇Hayu,Crybird",003hjJ9O4AiBl9,False,120,0,0,82.78264,71.39,0.0,0.0,21.66,31.04,https://y.gtimg.cn/music/photo_new/T002R500x500M000001xNQMK1OvExE_2.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,132,524671893,依兰爱情故事,金志文,003wJze11ABhHl,False,102,0,0,82.74438,71.7,0.0,0.0,6.93,33.23,https://y.gtimg.cn/music/photo_new/T002R500x500M000003kMWUy2EinCC_2.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,133,531082488,Bad Boy,万妮达Vinida Weng,003twp2w4OaRcC,False,53,0,0,82.70884,71.97,0.0,0.0,7.12,22.23,https://y.gtimg.cn/music/photo_new/T002R500x500M0000005bCtH469HXW_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,134,491996814,本末,任素汐,001sTnpM1Kw5aa,False,117,0,0,82.6812,71.68,0.0,0.0,3.83,34.16,https://y.gtimg.cn/music/photo_new/T002R500x500M0000033vNiW2uLR2S_1.jpg
